Date,DOW,EUR,NASDAQ,NIKKEI,NYSE,S&P,SHZ,SSE
2022-05-24,31928.62,1195.089966,,26748.140625,,3941.48,11065.919922,3070.929932
2022-05-23,31880.24,1215.310059,,27001.519531,,3973.75,11447.950195,3146.860107
2022-05-20,31261.9,1200.48999,,26739.029297,,3901.36,11454.530273,3146.570068
2022-05-19,31253.13,1195.869995,,26402.839844,,3900.79,11250.05957,3096.959961
2022-05-18,31490.07,1214.300049,,26911.199219,,3923.68,11208.080078,3085.97998
2022-05-17,32654.59,1226.540039,,26659.75,,4088.85,11230.160156,3093.699951
2022-05-16,32223.42,1210.420044,,26547.050781,,4008.01,11093.370117,3073.75
2022-05-13,32196.66,1211.73999,,26427.650391,,4023.89,11159.790039,3084.280029
2022-05-12,31730.3,1182.849976,,25748.720703,,3930.08,11094.870117,3054.98999
2022-05-11,31834.11,1195.849976,,26213.640625,,3935.18,11109.480469,3058.699951
2022-05-10,32160.74,1169.089966,,26167.099609,,4001.05,10912.740234,3035.840088
2022-05-09,32245.7,1163.449951,11623.25,26319.339844,15057.870117,3991.24,10765.629883,3004.139893
2022-05-06,32899.37,1199.819946,12144.660156,27003.560547,15566.55957,4123.34,10809.879883,3001.560059
2022-05-05,32997.97,1219.910034,12317.69043,,15652.610352,4146.87,11046.379883,3067.76001
2022-05-04,34061.06,1226.189941,12964.860352,,16119.610352,4300.17,,
2022-05-03,33128.79,1237.609985,12563.759766,,15729.530273,4175.48,,
2022-05-02,33061.5,1223.130005,12536.019531,26818.529297,15609.280273,4155.38,,
2022-04-29,32977.21,1245.920044,12334.639648,,15615.25,4131.93,11021.44043,3047.060059
2022-04-28,33916.39,1237.829956,12871.530273,26847.900391,16032.679688,4287.5,10628.919922,2975.47998
2022-04-27,33301.93,1227.660034,12488.929688,26386.630859,15741.820313,4183.96,10652.900391,2958.280029
2022-04-26,33240.18,1222.530029,12490.740234,26700.109375,15694.240234,4175.2,10206.639648,2886.429932
2022-04-25,34049.46,1230.52002,13004.849609,26590.779297,16054.759766,4296.12,10379.280273,2928.51001
2022-04-22,33811.4,1258.560059,12839.290039,27105.259766,16056.870117,4271.78,11051.700195,3086.919922
2022-04-21,34792.76,1282.660034,13174.650391,27553.060547,16499.330078,4393.66,11084.280273,3079.810059
2022-04-20,35160.79,1273.170044,13453.070313,27217.849609,16761.349609,4459.45,11392.230469,3151.050049
2022-04-19,34911.2,1255.949951,13619.660156,26985.089844,16658.900391,4462.21,11633.320313,3194.030029
2022-04-18,34411.69,,13332.360352,26799.710938,16466.210938,4391.69,11691.469727,3195.52002
2022-04-14,34451.23,1262.52002,13351.080078,27172.0,16511.509766,4392.59,11714.620117,3225.639893
