,Year,GDP,Per Capita,Growth
0,2020,"$14,722.73B","$10,500",2.30%
1,2019,"$14,279.94B","$10,217",5.95%
2,2018,"$13,894.82B","$9,977",6.75%
3,2017,"$12,310.41B","$8,879",6.95%
4,2016,"$11,233.28B","$8,148",6.85%
5,2015,"$11,061.55B","$8,067",7.04%
6,2014,"$10,475.68B","$7,679",7.43%
7,2013,"$9,570.41B","$7,051",7.77%
8,2012,"$8,532.23B","$6,317",7.86%
9,2011,"$7,551.50B","$5,618",9.55%
10,2010,"$6,087.16B","$4,550",10.64%
11,2009,"$5,101.70B","$3,832",9.40%
12,2008,"$4,594.31B","$3,468",9.65%
13,2007,"$3,550.34B","$2,694",14.23%
14,2006,"$2,752.13B","$2,099",12.72%
15,2005,"$2,285.97B","$1,753",11.39%
16,2004,"$1,955.35B","$1,509",10.11%
17,2003,"$1,660.29B","$1,289",10.04%
18,2002,"$1,470.55B","$1,149",9.13%
19,2001,"$1,339.40B","$1,053",8.34%
20,2000,"$1,211.35B",$959,8.49%
21,1999,"$1,094.00B",$873,7.66%
22,1998,"$1,029.04B",$829,7.85%
23,1997,$961.60B,$782,9.24%
24,1996,$863.75B,$709,9.92%
25,1995,$734.55B,$610,10.95%
26,1994,$564.32B,$473,13.04%
27,1993,$444.73B,$377,13.88%
28,1992,$426.92B,$366,14.22%
29,1991,$383.37B,$333,9.26%
30,1990,$360.86B,$318,3.92%
31,1989,$347.77B,$311,4.21%
32,1988,$312.35B,$284,11.22%
33,1987,$272.97B,$252,11.66%
34,1986,$300.76B,$282,8.95%
35,1985,$309.49B,$294,13.43%
36,1984,$259.95B,$251,15.19%
37,1983,$230.69B,$225,10.77%
38,1982,$205.09B,$203,9.02%
39,1981,$195.87B,$197,5.11%
40,1980,$191.15B,$195,7.83%
41,1979,$178.28B,$184,7.59%
42,1978,$149.54B,$156,11.33%
43,1977,$174.94B,$185,7.57%
44,1976,$153.94B,$165,-1.57%
45,1975,$163.43B,$178,8.72%
46,1974,$144.18B,$160,2.31%
47,1973,$138.54B,$157,7.76%
48,1972,$113.69B,$132,3.81%
49,1971,$99.80B,$119,7.06%
50,1970,$92.60B,$113,19.30%
51,1969,$79.71B,$100,16.94%
52,1968,$70.85B,$91,-4.10%
53,1967,$72.88B,$97,-5.77%
54,1966,$76.72B,$104,10.65%
55,1965,$70.44B,$98,16.95%
56,1964,$59.71B,$85,18.18%
57,1963,$50.71B,$74,10.30%
58,1962,$47.21B,$71,-5.58%
59,1961,$50.06B,$76,-27.27%
60,1960,$59.72B,$90,%
