Year,Europe,China,Japan,USA
1929-01-01,,,,105.0
1930-01-01,,,,92.0
1931-01-01,,,,77.0
1932-01-01,,,,60.0
1933-01-01,,,,57.0
1934-01-01,,,,67.0
1935-01-01,,,,74.0
1936-01-01,,,,85.0
1937-01-01,,,,93.0
1938-01-01,,,,87.0
1939-01-01,,,,93.0
1940-01-01,,,,103.0
1941-01-01,,,,129.0
1942-01-01,,,,166.0
1943-01-01,,,,203.0
1944-01-01,,,,224.0
1945-01-01,,,,228.0
1946-01-01,,,,228.0
1947-01-01,,,,250.0
1948-01-01,,,,275.0
1949-01-01,,,,273.0
1950-01-01,,,,300.0
1951-01-01,,,,347.0
1952-01-01,,,,367.0
1953-01-01,,,,389.0
1954-01-01,,,,391.0
1955-01-01,,,,426.0
1956-01-01,,,,449.0
1957-01-01,,,,474.0
1958-01-01,,,,481.0
1959-01-01,,,,522.0
1960-01-01,,59.72,44.31,542.0
1961-01-01,,50.06,53.51,562.0
1962-01-01,,47.21,60.72,604.0
1963-01-01,,50.71,69.5,638.0
1964-01-01,,59.71,81.75,685.0
1965-01-01,,70.44,90.95,742.0
1966-01-01,855.91,76.72,105.63,813.0
1967-01-01,930.21,72.88,123.78,860.0
1968-01-01,996.38,70.85,146.6,941.0
1969-01-01,1110.67,79.71,172.2,1018.0
1970-01-01,245.92,92.6,212.61,1073.0
1971-01-01,279.47,99.8,240.15,1165.0
1972-01-01,335.68,113.69,318.03,1279.0
1973-01-01,436.18,138.54,432.08,1425.0
1974-01-01,485.2,144.18,479.63,1545.0
1975-01-01,561.5,163.43,521.54,1685.0
1976-01-01,596.34,153.94,586.16,1873.0
1977-01-01,672.3,174.94,721.41,2082.0
1978-01-01,813.02,149.54,1013.61,2352.0
1979-01-01,968.71,178.28,1055.01,2627.0
1980-01-01,1063.13,191.15,1105.39,2857.0
1981-01-01,924.27,195.87,1218.99,3207.0
1982-01-01,883.8,205.09,1134.52,3344.0
1983-01-01,859.27,230.69,1243.32,3634.0
1984-01-01,829.03,259.95,1318.38,4038.0000000000005
1985-01-01,850.41,309.49,1398.89,4339.0
1986-01-01,1184.51,300.76,2078.95,4580.0
1987-01-01,1462.09,272.97,2532.81,4855.0
1988-01-01,1582.7,312.35,3071.68,5236.0
1989-01-01,1597.59,347.77,3054.91,5642.0
1990-01-01,1968.19,360.86,3132.82,5963.0
1991-01-01,2039.03,383.37,3584.42,6158.0
1992-01-01,2256.27,426.92,3908.81,6520.0
1993-01-01,2112.61,444.73,4454.14,6859.0
1994-01-01,2271.81,564.32,4907.04,7287.0
1995-01-01,2690.03,734.55,5449.12,7640.0
1996-01-01,2702.33,863.75,4833.71,8073.0
1997-01-01,2478.76,961.6,4414.73,8578.0
1998-01-01,2557.93,1029.04,4032.51,9063.0
1999-01-01,7793.52,1094.0,4562.08,9631.0
2000-01-01,7153.21,1211.35,4887.52,10252.0
2001-01-01,7400.13,1339.4,4303.54,10582.0
2002-01-01,8087.6,1470.55,4115.12,10936.0
2003-01-01,9930.29,1660.29,4445.66,11458.0
2004-01-01,11411.65,1955.35,4815.17,12214.0
2005-01-01,11897.43,2285.97,4755.41,13037.0
2006-01-01,12692.86,2752.13,4530.38,13815.0
2007-01-01,14693.8,3550.34,4515.26,14452.0
2008-01-01,16250.52,4594.31,5037.91,14713.0
2009-01-01,14726.55,5101.7,5231.38,14449.0
2010-01-01,14518.96,6087.16,5700.1,14992.0
2011-01-01,15738.0,7551.5,6157.46,15543.0
2012-01-01,14613.42,8532.23,6203.21,16197.0
2013-01-01,15275.51,9570.41,5155.72,16785.0
2014-01-01,15614.67,10475.68,4850.41,17527.0
2015-01-01,13548.51,11061.55,4389.48,18238.0
2016-01-01,13891.55,11233.28,4922.54,18745.0
2017-01-01,14759.15,12310.41,4866.86,19543.0
2018-01-01,15963.18,13894.82,4954.81,20612.0
2019-01-01,15634.0,14279.94,5064.87,21433.0
2020-01-01,15192.65,14722.73,,20893.0
2021-01-01,,,,22996.0
