,War or conflict,Start date,End date,Duration
0,Reconquista,711,1492,781 years[3]
1,Roman–Persian Wars,54 BC,628,681 years[citation needed]
2,Byzantine–Bulgarian wars,680,1355,675 years
3,Crusades,1096,1699,"602 years, 5 months, 1 week and 4 days"
4,Arab–Byzantine wars,629,1050,421 years
5,Byzantine–Arab wars,780,1180,400 years
6,Yaqui Wars,1533,1929,396 years
7,Yemeni–Ottoman conflicts,1538,1911,373 years
8,Moroccan–Portuguese conflicts,1415,1769,354 years
9,Russo-Turkish wars,1568,1918,350 years
10,Arauco War,1536,1883,347 years
11,Dutch-Scilly Islands wars,30 March 1651,17 April 1986,"335 years, 2 weeks and 4 days"
12,Spanish–Moro conflict,1565,1898,333 years
13,Apache–Mexico Wars,1600,1915,315 years
14,American Indian Wars,1609,1924,315 years[citation needed]
15,Ottoman–Persian Wars,1514,1823,309 years
16,Navajo Wars,1600,1866,266 years
17,Ottoman–Habsburg wars,1526,1791,265 years
18,Byzantine–Seljuk wars,1048,1308,260 years[citation needed]
19,Chechen–Russian conflict,1785,2017,232 years
20,Warring States period,453 BC,223 BC,230 years
21,Islamic conquest of Afghanistan,642,870,228 years
22,Byzantine–Ottoman wars,1265,1479,214 years[citation needed]
23,Polish–Teutonic War,1308,1521,213 years
24,Roman conquest of the Iberian Peninsula,218 BC,19 BC,199 years
25,Franco-Moroccan conflicts,1765,1958,193 years
26,Cossack uprisings,1591,1775,184 years
27,Russo-Persian Wars,1651,1828,177 years
28,Spanish conquest of Chiapas,1523,1695,172 years
29,Muscovite–Lithuanian Wars,1368,1537,169 years
30,Russian conquest of Siberia,1580,1747,167 years
31,Ottoman–Hungarian wars,1366,1526,160 years
32,Polish–Swedish wars,1563,1721,158 years
33,Anglo-Dutch Wars,1652,1810,158 years
34,Sengoku period,1467,1615,148 years
35,Australian frontier wars,1788,1934,146 years
36,Spanish conquest of Guatemala,1521,1667,146 years
37,Hook and Cod wars,1350,1490,140 years
38,Mongol invasions and conquests,1206,1337,131 years
39,Early Muslim conquests,622,750,128 years
40,Second Hundred Years' War,1689,1815,126 years
41,Mughal–Sikh Wars,1635,1753,118 years
42,Hundred Years' War,1337,1453,116 years[4]
43,Russo-Kazan Wars,1438,1552,114 years
44,Norwegian civil wars,1130,1240,110 years
45,Xhosa Wars,1779,1889,110 years
46,Jin–Song Wars,1125,1234,109 years
47,Seleucid–Parthian Wars,238 BC,129 BC,109 years
48,Tuareg rebellions,1916,Ongoing,106 years
49,Georgian–Seljuk wars,1099,1203,104 years
50,Kurdish separatism in Iran,1918,Ongoing,104 years
51,Hephthalite–Sasanian Wars,459,562,103 years
52,Kurdish rebellions in Turkey,6 March 1921,Ongoing,"101 years, 2 months, 2 weeks and 5 days"
53,Russo-Circassian War,1763,1864,101 years
54,Beaver Wars,1609,1701,92 years
55,Afghan–Sikh Wars,1751,1837,86 years
56,Iraqi–Kurdish conflict,1918,2003,85 years
57,Dagohoy rebellion,24 January 1744,31 August 1829,"85 years, 7 months and 1 week"
58,Anglo-Afghan War,1839,1919,80 years
59,Eighty Years' War,1568,1648,80 years[5]
60,Spanish conquest of Petén,1618,1697,79 years
61,Muslim conquest of Transoxiana,673,751,78 years
62,Anglo-Ashanti wars,1823,1900,77 years
63,Umayyad conquest of Hispania,711,788,77 years
64,Korean conflict,15 August 1945,Ongoing,"76 years, 9 months, 1 week and 3 days"
65,Muslim conquest of Sicily,June 827,August 902,75 years and 2 months
66,Apache Wars,1849,1924,75 years
67,Rohingya insurgency,1947,Ongoing,75 years
68,Indo-Pakistani wars and conflicts,22 October 1947,Ongoing,"74 years, 7 months and 3 days"
69,Kashmir conflict,22 October 1947,Ongoing,"74 years, 7 months and 3 days"
70,Internal conflict in Myanmar,2 April 1948,Ongoing,"74 years, 1 month, 3 weeks and 2 days"
71,Israeli–Palestinian conflict,1948,Ongoing,74 years
72,Insurgency in Balochistan,1948,Ongoing,74 years
73,Israeli–Lebanese conflict,14 May 1948,Ongoing,"74 years, 1 week and 4 days"
74,Arab–Israeli conflict,15 May 1948,Ongoing,"74 years, 1 week and 3 days"
75,Afghanistan–Pakistan skirmishes,1949,Ongoing,73 years
76,Karen conflict,1949,Ongoing,73 years[6]
77,Jewish–Roman wars,66,136,70 years
78,Dzungar–Qing Wars,1687,1758,71 years
79,Pacification of Algeria,1835,1903,68 years
80,Ethnic conflict in Nagaland,1954,Ongoing,68 years
81,Xinjiang conflict,1954,Ongoing,68 years
82,Sudanese Civil Wars,18 August 1955,Ongoing,"66 years, 9 months and 1 week"
83,Argentine Civil Wars,1814,1880,66 years
84,Italian Wars,1494,1559,65 years
85,Darfurs Civil War,1722,1786,64 years
86,Muslim conquest of the Maghreb,647,709,62 years
87,South Thailand insurgency,1960,Ongoing,62 years
88,Sixty Years' War,1754,1814,60 years
89,Dutch–Portuguese War,1601,1661,60 years
90,Lelantine War,710 BC,650 BC,60 years
91,Papua conflict,1962,Ongoing,60 years
92,Cross border attacks in Sabah,1962,Ongoing,60 years
93,Insurgency in Northeast India,1963,Ongoing,59 years
94,Colombian conflict,1964,Ongoing,58 years
95,Insurgency in Manipur,24 November 1964,Ongoing,"57 years, 6 months and 1 day"
96,Italian unification,1815,1871,56 years
97,Texas–Indian wars,1820,1875,55 years
98,Naxalite–Maoist insurgency,18 May 1967,Ongoing,55 years and 1 week
99,Civil conflict in the Philippines,29 March 1969,Ongoing,"53 years, 1 month, 3 weeks and 5 days"
100,Communist rebellion in the Philippines,29 March 1969,Ongoing,"53 years, 1 month, 3 weeks and 5 days"
101,Moro conflict,29 March 1969,Ongoing,"53 years, 1 month, 3 weeks and 5 days"
102,Basque conflict,31 July 1959,20 October 2011,"52 years, 2 months, 2 weeks and 6 days"
103,Bulgarian–Ottoman wars,1344,1396,52 years
104,Galicia–Volhynia Wars,1340,1392,52 years
105,Western Sahara conflict,1970,Ongoing,52 years
106,Communist insurgency in Burma,1939,1989,50 years
107,Byzantine conquest of Bulgaria,968,1018,50 years
108,Greco-Persian Wars,499 BC,449 BC,50 years[7]
109,Comanche–Mexico Wars,1821,1870,49 years
110,Bulgarian-Ottoman conflicts,1345,1393,48 years and 6 months
111,Wars of the Diadochi,322 BC,275 BC,47 years[8]
112,Caucasian War,1817,1864,47 years
113,Cabinda War,8 November 1975,Ongoing,"46 years, 6 months, 2 weeks and 3 days"
114,Chadian Civil Wars,1965,2010,45 years
115,Kongo Civil War,1665,1709,44 years
116,Cold War (Indirect War),1947,1991,44 years
117,Afghanistan conflict,27 April 1978,Ongoing,44 years and 4 weeks[citation needed]
118,Kurdish–Turkish conflict (1978–present),27 November 1978,Ongoing,"43 years, 5 months and 4 weeks"
119,Assam separatist movements,1979,Ongoing,43 years
120,Sino-Dutch conflicts,1620,1662,42 years
