,Start,Finish,Name of Conflict
626,1948,2023,Internal conflict in Burma
642,1949,2023,Afghanistan–Pakistan skirmishes
706,1960,2023,Katanga insurgency
708,1960,2023,South Thailand insurgency
745,1964,2023,Colombian conflict (1964–present)
747,1964,2023,Insurgency in Northeast India
769,1967,2023,Naxalite–Maoist insurgency
775,1969,2023,Civil conflict in the Philippines
777,1969,2023,Communist rebellion in the Philippines
783,1969,2023,Papua conflict
799,1973,2023,Oromo Conflict
810,1975,2023,Cabinda War
815,1975,2023,Insurgency in Laos
817,1976,2023,Rebellion of the Lost [pt]
832,1978,2023,Kurdish–Turkish conflict
849,1980,2023,Internal conflict in Peru
853,1980,2023,Maoist insurgency in Turkey
859,1982,2023,Casamance conflict
881,1987,2023,Lord's Resistance Army insurgency
890,1989,2023,Insurgency in Jammu and KashmirPart of the Kashmir conflict
896,1990,2023,DHKP/C insurgency in Turkey
907,1991,2023,Somali Civil War
920,1993,2023,Ethnic conflict in Nagaland
923,1994,2023,Armenian-Azerbaijani border conflictPart of the Nagorno-Karabakh conflict
924,1994,2023,Chiapas conflict
935,1996,2023,ADF insurgency
950,1998,2023,Al-Qaeda insurgency in Yemen
966,2001,2023,War on Terror
969,2002,2023,Operation Enduring Freedom – Horn of Africa
972,2003,2023,War in Darfur
975,2004,2023,War in North-West Pakistan
977,2004,2023,Iran–PJAK conflict Kurdish separatism in Iran
978,2004,2023,Conflict in the Niger Delta
980,2004,2023,Kivu conflict
981,2004,2023,Sistan and Baluchestan insurgency Part of the Balochistan conflict
982,2005,2023,Paraguayan People's Army insurgency
986,2006,2023,Fatah–Hamas conflict
992,2006,2023,Mexican Drug War
994,2006,2023,Militias-Comando Vermelho conflict
995,2007,2023,Operation Enduring Freedom – Trans Sahara
1009,2009,2023,Sudanese nomadic conflicts
1011,2009,2023,Boko Haram insurgency
1014,2009,2023,South Yemen insurgency
1015,2009,2023,Somali Civil War (2009–present) Part of the Somali Civil War
1023,2011,2023,Sinai insurgency
1024,2011,2023,Syrian Civil War
1025,2011,2023,Sudanese conflict in South Kordofan and Blue Nile
1028,2011,2023,Ethnic violence in South Sudan (2011–present) Part of the Sudanese nomadic conflicts
1032,2012,2023,Northern Mali conflict
1037,2012,2023,Central African Republic conflict (2012–present)
1048,2014,2023,Russo-Ukrainian War
1049,2014,2023,International military intervention against ISIL
1050,2014,2023,Yemeni Civil War (2014–present)
1051,2015,2023,ISIL insurgency in Tunisia Part of the Insurgency in the Maghreb (2002–present)
1052,2015,2023,Kurdish–Turkish conflict (2015–present) Part of the Kurdish–Turkish conflict (1978–present)
1053,2016,2023,2016 Niger Delta conflict Part of the Conflict in the Niger Delta
1056,2016,2023,Northern Rakhine State clashes Part of the Rohingya conflict and the Internal conflict in Myanmar
1059,2016,2023,Insurgency in Northern Chad
1064,2017,2023,Anglophone Crisis
1065,2017,2023,Insurgency in Cabo Delgado
1066,2017,2023,Islamic State insurgency in Iraq (2017–present) Part of the Iraqi conflict (2003–present)
1067,2018,2023,Catatumbo campaign Part of the Part of the Colombian conflict
1072,2019,2023,"2019–2021 Persian Gulf crisis Part of the Iran–Saudi Arabia proxy conflict, the Iran–Israel proxy conflict, and the Persian Gulf conflicts"
1073,2019,2023,Benishangul-Gumuz conflict Part of the Ethiopian civil conflict (2018–present)
1075,2020,2023,2020–2022 China–India skirmishes
1076,2020,2023,Western Togoland Rebellion
1078,2020,2023,Tigray War Part of the Ethiopian civil conflict (2018–present)
1079,2020,2023,2020–2022 Western Saharan clashes Part of the Western Sahara conflict
1080,2020,2023,Afar–Somali clashes Part of the Ethiopian civil conflict (2018–present)
1081,2020,2023,2020–2022 Ethiopian–Sudanese clashes
1082,2021,2023,Insurgency in Southeastern Nigeria Part of the herder–farmer conflicts in Nigeria and the conflict in the Niger Delta
1083,2021,2023,2021-2022 Myanmar insurgency Part of the Internal conflict in Myanmar
1086,2021,2023,2021–2022 Armenia–Azerbaijan border crisis Part of the Nagorno-Karabakh conflict
1087,2021,2023,Republican insurgency in Afghanistan Part of the Afghanistan conflict (1978–present)
1089,2022,2023,Russian invasion of Ukraine Part of the Russo-Ukrainian War
