,Start,Finish,Name of Conflict
532,1934,1938,Second Cristero War [es]
533,1934,1934,Asturian Revolution
534,1934,1934,Mandalada [ru]
535,1934,1934,Soviet invasion of Xinjiang
536,1934,1934,Austrian Civil War
537,1934,1934,July Putsch
538,1934,1934,Events of 6 October
539,1934,1934,1934 Khamba Rebellion
540,1934,1934,Saudi–Yemeni War
541,1935,1935,Narrenrevolte [de]
542,1935,1935,Mohmand campaign of 1935
543,1935,1935,May 2 uprising
544,1935,1935,1935 Yazidi revolt
545,1935,1935,Goharshad Mosque rebellion
546,1935,1935,1935 Greek coup d'état attempt
547,1935,1936,1935–36 Iraqi Shia revolts
548,1935,1935,Brazilian uprising of 1935
549,1935,1936,Second Italo-Ethiopian War
550,1936,1936,1936 Iraqi coup d'état
551,1936,1936,Scythe Cross rebellion
552,1936,1936,1936 Naval Revolt (Portugal)
553,1936,1936,February 26 Incident
554,1936,1939,1936–1939 Arab revolt in Palestine
555,1936,1939,Spanish Civil War
556,1936,1939,Waziristan campaign (1936–1939)
557,1937,1939,Katawz rebellion[92]
558,1937,1937,Afghan tribal revolts of 1937[91]
559,1937,1937,Islamic rebellion in Xinjiang (1937)
560,1937,1937,Dieu Python movement
561,1937,1938,Dersim Rebellion
562,1937,1945,Second Sino-Japanese WarPart of World War II
563,1938,1938,Brazilian Integralist uprising of 1938 [pt]
564,1938,1939,Afghan tribal revolts of 1938[92][93]
565,1938,1938,1938 Greek coup d'état attempt
566,1938,1938,Sudeten German uprising
567,1939,1939,Hungarian Invasion of the Carpatho-Ukraine
568,1939,1939,Slovak–Hungarian War
569,1939,1965,Maquis insurgency
570,1939,1939,Italian invasion of Albania
571,1939,1945,World War II
572,1939,1939,1939 Ondonga uprising[8]
573,1939,1940,Winter WarPart of World War II
574,1940,1944,1940–1944 insurgency in Chechnya Part of World War II and the Chechen–Russian conflict
575,1940,1940,Czortków uprisingPart of World War II
576,1940,1940,Soviet occupation of the Baltic states (1940)Part of World War II
577,1940,1940,Soviet occupation of Bessarabia and Northern BukovinaPart of World War II
578,1940,1941,Franco-Thai WarPart of World War II
579,1941,1941,Legionnaires' Rebellion
580,1941,1941,Ecuadorian–Peruvian War
581,1941,1941,Anglo-Iraqi WarPart of World War II
582,1941,1944,Continuation WarPart of World War II
583,1941,1944,Hama Rashid revolt
584,1941,1941,June 1941 uprising in eastern HerzegovinaPart of World War II
585,1941,1941,Uprising in Serbia (1941)Part of World War II
586,1942,1954,Hukbalahap Rebellion
587,1943,1943,1943 Khuzestan revolt[96]
588,1943,1945,1943 Barzani revolt
