,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 24, 2022",31717.61,32014.86,31365.59,31928.62,31928.62,382950000
1,"May 23, 2022",31395.89,31968.42,31395.89,31880.24,31880.24,402010000
2,"May 20, 2022",31426.94,31515.78,30635.76,31261.90,31261.90,495510000
3,"May 19, 2022",31262.62,31569.13,31016.41,31253.13,31253.13,517190000
4,"May 18, 2022",32468.67,32468.67,31393.95,31490.07,31490.07,465060000
5,"May 17, 2022",32427.00,32689.14,32308.15,32654.59,32654.59,389310000
6,"May 16, 2022",32152.15,32514.02,31928.18,32223.42,32223.42,330030000
7,"May 13, 2022",31963.86,32276.05,31862.79,32196.66,32196.66,388520000
8,"May 12, 2022",31699.04,31914.46,31228.22,31730.30,31730.30,544240000
9,"May 11, 2022",32123.24,32584.02,31798.86,31834.11,31834.11,458460000
10,"May 10, 2022",32504.09,32752.17,31887.89,32160.74,32160.74,439290000
11,"May 09, 2022",32685.17,32685.17,32121.98,32245.70,32245.70,470770000
12,"May 06, 2022",32773.88,33055.84,32474.69,32899.37,32899.37,416520000
13,"May 05, 2022",33854.17,33854.17,32685.10,32997.97,32997.97,448420000
14,"May 04, 2022",33171.80,34117.74,33021.84,34061.06,34061.06,411060000
15,"May 03, 2022",33086.09,33341.58,32914.75,33128.79,33128.79,364420000
16,"May 02, 2022",32978.49,33224.95,32449.87,33061.50,33061.50,453390000
17,"Apr 29, 2022",33787.01,33919.59,32913.15,32977.21,32977.21,501560000
18,"Apr 28, 2022",33425.96,34054.79,33248.46,33916.39,33916.39,440380000
19,"Apr 27, 2022",33450.92,33697.18,33108.89,33301.93,33301.93,447230000
20,"Apr 26, 2022",33907.49,33909.51,33230.95,33240.18,33240.18,400020000
21,"Apr 25, 2022",33731.65,34106.01,33323.37,34049.46,34049.46,416900000
22,"Apr 22, 2022",34727.38,34727.38,33773.39,33811.40,33811.40,373280000
23,"Apr 21, 2022",35258.80,35492.22,34723.82,34792.76,34792.76,366390000
24,"Apr 20, 2022",34962.67,35315.40,34962.67,35160.79,35160.79,337620000
25,"Apr 19, 2022",34394.62,34983.11,34394.62,34911.20,34911.20,296350000
26,"Apr 18, 2022",34411.49,34618.29,34279.08,34411.69,34411.69,264110000
27,"Apr 14, 2022",34628.46,34889.17,34437.50,34451.23,34451.23,353680000
28,"Apr 13, 2022",34166.64,34598.36,34140.64,34564.59,34564.59,313630000
29,"Apr 12, 2022",34412.51,34669.97,34102.81,34220.36,34220.36,333510000
30,"Apr 11, 2022",34630.27,34701.34,34272.29,34308.08,34308.08,333290000
31,"Apr 08, 2022",34569.24,34908.46,34470.19,34721.12,34721.12,301750000
32,"Apr 07, 2022",34439.24,34705.83,34190.95,34583.57,34583.57,319870000
33,"Apr 06, 2022",34520.34,34609.84,34277.17,34496.51,34496.51,386250000
34,"Apr 05, 2022",34876.33,35112.21,34566.04,34641.18,34641.18,304010000
35,"Apr 04, 2022",34799.98,34940.78,34615.38,34921.88,34921.88,316570000
36,"Apr 01, 2022",34740.89,34847.91,34538.25,34818.27,34818.27,340400000
37,"Mar 31, 2022",35201.52,35201.52,34677.99,34678.35,34678.35,433400000
38,"Mar 30, 2022",35273.63,35361.36,35058.58,35228.81,35228.81,317320000
39,"Mar 29, 2022",35114.35,35372.26,35030.07,35294.19,35294.19,355050000
40,"Mar 28, 2022",34833.03,34957.93,34552.23,34955.89,34955.89,299790000
41,"Mar 25, 2022",34702.39,34942.70,34631.52,34861.24,34861.24,285440000
42,"Mar 24, 2022",34406.81,34713.56,34355.42,34707.94,34707.94,324870000
43,"Mar 23, 2022",34748.84,34748.84,34352.96,34358.50,34358.50,347880000
44,"Mar 22, 2022",34583.24,34882.03,34583.24,34807.46,34807.46,368550000
45,"Mar 21, 2022",34669.85,34808.28,34341.81,34552.99,34552.99,408490000
46,"Mar 18, 2022",34466.72,34755.20,34279.83,34754.93,34754.93,615420000
47,"Mar 17, 2022",33995.39,34483.92,33896.06,34480.76,34480.76,339470000
48,"Mar 16, 2022",33653.93,34075.94,33391.24,34063.10,34063.10,427400000
49,"Mar 15, 2022",32989.27,33620.84,32989.27,33544.34,33544.34,388810000
50,"Mar 14, 2022",33000.37,33395.59,32818.16,32945.24,32945.24,394940000
51,"Mar 11, 2022",33279.72,33515.61,32911.89,32944.19,32944.19,369480000
52,"Mar 10, 2022",33106.77,33236.59,32819.76,33174.07,33174.07,399480000
53,"Mar 09, 2022",32860.42,33457.28,32860.42,33286.25,33286.25,418670000
54,"Mar 08, 2022",32885.17,33402.98,32578.73,32632.64,32632.64,553750000
55,"Mar 07, 2022",33579.75,33579.75,32806.15,32817.38,32817.38,488400000
56,"Mar 04, 2022",33655.43,33655.43,33254.12,33614.80,33614.80,408390000
57,"Mar 03, 2022",33972.87,34179.07,33641.53,33794.66,33794.66,369740000
58,"Mar 02, 2022",33379.51,34013.67,33379.51,33891.35,33891.35,400920000
59,"Mar 01, 2022",33813.48,33870.14,33107.67,33294.95,33294.95,438730000
60,"Feb 28, 2022",33870.62,33963.63,33469.31,33892.60,33892.60,443460000
61,"Feb 25, 2022",33277.22,34095.74,33277.22,34058.75,34058.75,417630000
62,"Feb 24, 2022",32830.33,33269.34,32272.64,33223.83,33223.83,590850000
63,"Feb 23, 2022",33680.97,33832.59,33084.90,33131.76,33131.76,370600000
64,"Feb 22, 2022",33974.09,34024.74,33364.29,33596.61,33596.61,432090000
65,"Feb 18, 2022",34310.45,34423.58,33976.18,34079.18,34079.18,414080000
66,"Feb 17, 2022",34858.47,34858.47,34246.23,34312.03,34312.03,348720000
67,"Feb 16, 2022",34951.83,35042.09,34642.64,34934.27,34934.27,294410000
68,"Feb 15, 2022",34686.19,35047.79,34686.19,34988.84,34988.84,305670000
69,"Feb 14, 2022",34694.50,34744.56,34304.28,34566.17,34566.17,370320000
70,"Feb 11, 2022",35267.89,35431.15,34620.52,34738.06,34738.06,398860000
71,"Feb 10, 2022",35630.81,35800.24,35100.72,35241.59,35241.59,411620000
72,"Feb 09, 2022",35614.90,35824.28,35614.90,35768.06,35768.06,333610000
73,"Feb 08, 2022",35160.68,35544.89,35090.42,35462.78,35462.78,319190000
74,"Feb 07, 2022",35108.38,35325.01,34993.98,35091.13,35091.13,328910000
75,"Feb 04, 2022",35095.74,35333.55,34799.08,35089.74,35089.74,349880000
76,"Feb 03, 2022",35520.08,35535.94,35071.06,35111.16,35111.16,381020000
77,"Feb 02, 2022",35378.19,35679.20,35290.12,35629.33,35629.33,359540000
78,"Feb 01, 2022",35151.47,35441.09,34977.95,35405.24,35405.24,386080000
79,"Jan 31, 2022",34691.17,35148.14,34496.10,35131.86,35131.86,468070000
80,"Jan 28, 2022",34135.24,34731.77,33807.51,34725.47,34725.47,568440000
81,"Jan 27, 2022",34261.75,34773.32,34007.78,34160.78,34160.78,527780000
82,"Jan 26, 2022",34520.82,34815.67,33876.48,34168.09,34168.09,546330000
83,"Jan 25, 2022",34186.64,34591.04,33545.52,34297.73,34297.73,506430000
84,"Jan 24, 2022",34070.61,34420.99,33150.33,34364.50,34364.50,664010000
85,"Jan 21, 2022",34701.69,34896.67,34229.55,34265.37,34265.37,523880000
86,"Jan 20, 2022",35102.66,35490.20,34670.12,34715.39,34715.39,369070000
87,"Jan 19, 2022",35412.30,35547.83,35015.49,35028.65,35028.65,393080000
88,"Jan 18, 2022",35661.76,35661.76,35262.02,35368.47,35368.47,427260000
89,"Jan 14, 2022",35996.43,35996.43,35641.49,35911.81,35911.81,389200000
90,"Jan 13, 2022",36312.49,36513.88,36044.22,36113.62,36113.62,343640000
91,"Jan 12, 2022",36336.16,36453.49,36168.15,36290.32,36290.32,310180000
92,"Jan 11, 2022",36058.85,36271.47,35769.38,36252.02,36252.02,356850000
93,"Jan 10, 2022",36175.21,36175.21,35639.91,36068.87,36068.87,430680000
94,"Jan 07, 2022",36249.59,36382.84,36111.53,36231.66,36231.66,356110000
95,"Jan 06, 2022",36409.05,36464.19,36200.68,36236.47,36236.47,385890000
96,"Jan 05, 2022",36722.60,36952.65,36400.39,36407.11,36407.11,462040000
97,"Jan 04, 2022",36636.00,36934.84,36636.00,36799.65,36799.65,435080000
98,"Jan 03, 2022",36321.59,36595.82,36246.45,36585.06,36585.06,347930000
99,"Dec 31, 2021",36385.85,36484.94,36303.97,36338.30,36338.30,213200000
100,"Dec 30, 2021",36522.48,36679.44,36372.13,36398.08,36398.08,205620000
101,"Dec 29, 2021",36421.14,36571.55,36396.19,36488.63,36488.63,213480000
102,"Dec 28, 2021",36302.99,36527.26,36302.99,36398.21,36398.21,239090000
103,"Dec 27, 2021",35954.48,36306.61,35954.48,36302.38,36302.38,244350000
104,"Dec 23, 2021",35782.42,36060.99,35782.42,35950.56,35950.56,247420000
105,"Dec 22, 2021",35491.71,35764.67,35433.13,35753.89,35753.89,281930000
106,"Dec 21, 2021",35069.50,35508.96,35069.50,35492.70,35492.70,346080000
107,"Dec 20, 2021",35222.12,35222.12,34665.50,34932.16,34932.16,386590000
108,"Dec 17, 2021",35800.11,35800.11,35284.26,35365.44,35365.44,750480000
109,"Dec 16, 2021",36036.28,36189.83,35778.21,35897.64,35897.64,473620000
110,"Dec 15, 2021",35549.35,35943.84,35389.30,35927.43,35927.43,424720000
111,"Dec 14, 2021",35605.73,35779.47,35441.74,35544.18,35544.18,440900000
112,"Dec 13, 2021",35958.93,35958.93,35609.53,35650.95,35650.95,441110000
113,"Dec 10, 2021",35830.55,35982.69,35710.43,35970.99,35970.99,361200000
114,"Dec 09, 2021",35722.26,35864.24,35577.14,35754.69,35754.69,353020000
115,"Dec 08, 2021",35716.85,35840.52,35602.65,35754.75,35754.75,387650000
116,"Dec 07, 2021",35423.99,35819.47,35423.99,35719.43,35719.43,474940000
117,"Dec 06, 2021",34633.43,35356.75,34633.43,35227.03,35227.03,416720000
118,"Dec 03, 2021",34692.78,34801.31,34264.57,34580.08,34580.08,439550000
119,"Dec 02, 2021",34076.25,34759.65,34076.25,34639.79,34639.79,466900000
120,"Dec 01, 2021",34678.94,35004.64,34006.98,34022.04,34022.04,496000000
121,"Nov 30, 2021",35056.99,35056.99,34424.44,34483.72,34483.72,678800000
122,"Nov 29, 2021",35017.71,35287.91,34895.89,35135.94,35135.94,416040000
123,"Nov 26, 2021",35366.69,35366.69,34749.80,34899.34,34899.34,324580000
124,"Nov 24, 2021",35752.31,35825.47,35591.03,35804.38,35804.38,280960000
125,"Nov 23, 2021",35619.92,35841.52,35542.87,35813.80,35813.80,392520000
126,"Nov 22, 2021",35631.41,35929.66,35615.55,35619.25,35619.25,420810000
127,"Nov 19, 2021",35879.09,35879.09,35555.37,35601.98,35601.98,408840000
128,"Nov 18, 2021",35901.69,35952.63,35654.39,35870.95,35870.95,435080000
129,"Nov 17, 2021",36159.70,36159.70,35909.48,35931.05,35931.05,358310000
130,"Nov 16, 2021",36076.18,36316.61,36076.18,36142.22,36142.22,308290000
131,"Nov 15, 2021",36128.83,36236.07,36031.78,36087.45,36087.45,280660000
132,"Nov 12, 2021",35963.78,36147.63,35934.59,36100.31,36100.31,293180000
133,"Nov 11, 2021",36038.78,36108.17,35915.27,35921.23,35921.23,270320000
134,"Nov 10, 2021",36299.25,36346.61,36009.50,36079.94,36079.94,278390000
135,"Nov 09, 2021",36404.53,36416.98,36173.07,36319.98,36319.98,258020000
136,"Nov 08, 2021",36416.46,36565.73,36334.42,36432.22,36432.22,284400000
137,"Nov 05, 2021",36268.75,36484.75,36190.20,36327.95,36327.95,344600000
138,"Nov 04, 2021",36107.46,36168.03,35986.48,36124.23,36124.23,307640000
139,"Nov 03, 2021",36059.09,36178.51,35891.73,36157.58,36157.58,262540000
140,"Nov 02, 2021",35935.11,36088.81,35884.13,36052.63,36052.63,304510000
141,"Nov 01, 2021",35833.65,36009.74,35797.97,35913.84,35913.84,292880000
142,"Oct 29, 2021",35712.28,35852.53,35633.20,35819.56,35819.56,399400000
143,"Oct 28, 2021",35545.41,35742.25,35545.41,35730.48,35730.48,337400000
144,"Oct 27, 2021",35835.43,35835.43,35490.43,35490.69,35490.69,354180000
145,"Oct 26, 2021",35791.05,35892.92,35734.73,35756.88,35756.88,321910000
146,"Oct 25, 2021",35692.62,35787.04,35629.37,35741.15,35741.15,267220000
147,"Oct 22, 2021",35607.72,35765.02,35533.95,35677.02,35677.02,346290000
148,"Oct 21, 2021",35520.32,35612.36,35442.53,35603.08,35603.08,298390000
149,"Oct 20, 2021",35475.16,35669.69,35465.71,35609.34,35609.34,265750000
150,"Oct 19, 2021",35325.37,35462.68,35290.12,35457.31,35457.31,278510000
151,"Oct 18, 2021",35221.02,35327.57,35035.94,35258.61,35258.61,312640000
152,"Oct 15, 2021",35023.63,35320.97,35023.63,35294.76,35294.76,327870000
153,"Oct 14, 2021",34443.22,34923.83,34443.22,34912.56,34912.56,338540000
154,"Oct 13, 2021",34372.71,34449.83,34115.10,34377.81,34377.81,316220000
155,"Oct 12, 2021",34507.15,34611.24,34318.94,34378.34,34378.34,319010000
156,"Oct 11, 2021",34723.79,34951.35,34486.51,34496.06,34496.06,256820000
157,"Oct 08, 2021",34757.57,34842.62,34661.95,34746.25,34746.25,238080000
158,"Oct 07, 2021",34509.72,34975.19,34509.72,34754.94,34754.94,273290000
159,"Oct 06, 2021",34198.96,34432.68,33854.69,34416.99,34416.99,322170000
160,"Oct 05, 2021",34035.25,34490.95,34035.25,34314.67,34314.67,311520000
161,"Oct 04, 2021",34312.96,34410.28,33821.58,34002.92,34002.92,396860000
162,"Oct 01, 2021",33930.70,34490.56,33785.54,34326.46,34326.46,427580000
163,"Sep 30, 2021",34467.98,34557.37,33833.32,33843.92,33843.92,354830000
164,"Sep 29, 2021",34360.08,34580.42,34305.96,34390.72,34390.72,290350000
165,"Sep 28, 2021",34747.70,34798.21,34254.65,34299.99,34299.99,379020000
166,"Sep 27, 2021",34739.27,35061.12,34739.27,34869.37,34869.37,289480000
167,"Sep 24, 2021",34762.31,34857.06,34648.08,34798.00,34798.00,254310000
168,"Sep 23, 2021",34296.30,34879.78,34296.30,34764.82,34764.82,283890000
169,"Sep 22, 2021",34006.87,34440.42,34006.87,34258.32,34258.32,296590000
170,"Sep 21, 2021",34025.61,34313.88,33914.02,33919.84,33919.84,306970000
171,"Sep 20, 2021",34459.72,34459.72,33613.03,33970.47,33970.47,435780000
172,"Sep 17, 2021",34737.86,34779.86,34519.63,34584.88,34584.88,560630000
173,"Sep 16, 2021",34810.27,34943.55,34540.11,34751.32,34751.32,278270000
174,"Sep 15, 2021",34580.95,34880.77,34522.03,34814.39,34814.39,317490000
175,"Sep 14, 2021",34906.90,34990.36,34510.30,34577.57,34577.57,325140000
176,"Sep 13, 2021",34665.50,34939.10,34665.50,34869.63,34869.63,334190000
177,"Sep 10, 2021",34949.59,35104.25,34599.61,34607.72,34607.72,333230000
178,"Sep 09, 2021",35013.08,35199.89,34847.30,34879.38,34879.38,261330000
179,"Sep 08, 2021",35087.45,35175.15,34925.61,35031.07,35031.07,261880000
180,"Sep 07, 2021",35373.24,35373.24,35060.90,35100.00,35100.00,289830000
181,"Sep 03, 2021",35401.73,35422.71,35269.40,35369.09,35369.09,221370000
182,"Sep 02, 2021",35353.06,35475.40,35348.48,35443.82,35443.82,263370000
183,"Sep 01, 2021",35387.55,35407.37,35287.05,35312.53,35312.53,265520000
184,"Aug 31, 2021",35391.38,35449.79,35289.86,35360.73,35360.73,337240000
185,"Aug 30, 2021",35471.80,35510.71,35374.46,35399.84,35399.84,245390000
186,"Aug 27, 2021",35231.11,35479.18,35231.11,35455.80,35455.80,240990000
187,"Aug 26, 2021",35449.68,35498.45,35205.10,35213.12,35213.12,239740000
188,"Aug 25, 2021",35388.77,35501.14,35287.63,35405.50,35405.50,237230000
189,"Aug 24, 2021",35382.72,35445.47,35356.18,35366.26,35366.26,228710000
190,"Aug 23, 2021",35160.97,35428.91,35160.97,35335.71,35335.71,245760000
191,"Aug 20, 2021",34917.96,35177.26,34867.07,35120.08,35120.08,269320000
192,"Aug 19, 2021",34874.67,34997.81,34690.25,34894.12,34894.12,333550000
193,"Aug 18, 2021",35310.20,35356.80,34943.41,34960.69,34960.69,289800000
194,"Aug 17, 2021",35500.01,35500.01,35120.31,35343.28,35343.28,309410000
195,"Aug 16, 2021",35490.83,35631.19,35231.87,35625.40,35625.40,292590000
196,"Aug 13, 2021",35551.56,35610.57,35474.78,35515.38,35515.38,236790000
197,"Aug 12, 2021",35481.94,35510.77,35352.53,35499.85,35499.85,231600000
198,"Aug 11, 2021",35300.89,35501.16,35300.89,35484.97,35484.97,232800000
199,"Aug 10, 2021",35135.17,35285.16,35091.91,35264.67,35264.67,255040000
200,"Aug 09, 2021",35229.67,35229.67,35041.24,35101.85,35101.85,207850000
201,"Aug 06, 2021",35077.44,35246.79,35077.44,35208.51,35208.51,231570000
202,"Aug 05, 2021",34815.61,35067.54,34815.61,35064.25,35064.25,216580000
203,"Aug 04, 2021",35047.44,35047.44,34790.62,34792.67,34792.67,245300000
204,"Aug 03, 2021",34864.10,35120.94,34714.33,35116.40,35116.40,259820000
205,"Aug 02, 2021",34968.56,35192.11,34808.20,34838.16,34838.16,238620000
206,"Jul 30, 2021",35013.26,35106.30,34871.13,34935.47,34935.47,276410000
207,"Jul 29, 2021",34985.99,35171.52,34985.99,35084.53,35084.53,222680000
208,"Jul 28, 2021",35109.95,35116.37,34876.84,34930.93,34930.93,347170000
209,"Jul 27, 2021",35078.90,35078.90,34878.07,35058.52,35058.52,326610000
210,"Jul 26, 2021",35055.86,35150.37,34950.19,35144.31,35144.31,259790000
211,"Jul 23, 2021",34855.11,35095.33,34855.11,35061.55,35061.55,314040000
212,"Jul 22, 2021",34799.68,34879.28,34673.03,34823.35,34823.35,291610000
213,"Jul 21, 2021",34556.96,34820.24,34556.96,34798.00,34798.00,317090000
214,"Jul 20, 2021",33981.79,34621.79,33981.79,34511.99,34511.99,387020000
215,"Jul 19, 2021",34528.48,34528.48,33741.76,33962.04,33962.04,440440000
216,"Jul 16, 2021",35007.94,35090.01,34647.82,34687.85,34687.85,322980000
217,"Jul 15, 2021",34924.81,34990.41,34762.87,34987.02,34987.02,320450000
218,"Jul 14, 2021",34920.83,35069.18,34826.87,34933.23,34933.23,344340000
219,"Jul 13, 2021",34959.96,35018.79,34876.89,34888.79,34888.79,322430000
220,"Jul 12, 2021",34836.75,35014.90,34730.15,34996.18,34996.18,294800000
221,"Jul 09, 2021",34457.51,34893.72,34457.51,34870.16,34870.16,301750000
222,"Jul 08, 2021",34569.01,34569.01,34145.59,34421.93,34421.93,335690000
223,"Jul 07, 2021",34604.17,34708.78,34435.59,34681.79,34681.79,302700000
224,"Jul 06, 2021",34790.16,34814.20,34358.42,34577.37,34577.37,348430000
225,"Jul 02, 2021",34642.42,34821.93,34613.49,34786.35,34786.35,301860000
226,"Jul 01, 2021",34507.32,34640.28,34498.85,34633.53,34633.53,268280000
227,"Jun 30, 2021",34290.74,34553.16,34245.48,34502.51,34502.51,295560000
228,"Jun 29, 2021",34338.89,34469.83,34266.83,34292.29,34292.29,282360000
229,"Jun 28, 2021",34428.10,34449.65,34186.13,34283.27,34283.27,280280000
230,"Jun 25, 2021",34328.10,34501.02,34314.80,34433.84,34433.84,432550000
231,"Jun 24, 2021",33933.91,34233.02,33933.91,34196.82,34196.82,275870000
232,"Jun 23, 2021",33948.54,34009.40,33869.83,33874.24,33874.24,255280000
233,"Jun 22, 2021",33872.56,34040.70,33751.06,33945.58,33945.58,284130000
234,"Jun 21, 2021",33312.07,33908.09,33312.07,33876.97,33876.97,317260000
235,"Jun 18, 2021",33622.70,33622.70,33271.93,33290.08,33290.08,563920000
236,"Jun 17, 2021",34014.38,34091.79,33626.61,33823.45,33823.45,354690000
237,"Jun 16, 2021",34308.48,34333.25,33917.11,34033.67,34033.67,347150000
238,"Jun 15, 2021",34397.10,34420.38,34199.16,34299.33,34299.33,272430000
239,"Jun 14, 2021",34472.52,34472.52,34211.54,34393.75,34393.75,295530000
240,"Jun 11, 2021",34499.81,34618.09,34328.65,34479.60,34479.60,260840000
241,"Jun 10, 2021",34502.51,34737.79,34447.25,34466.24,34466.24,309310000
242,"Jun 09, 2021",34626.16,34654.67,34439.37,34447.14,34447.14,245100000
243,"Jun 08, 2021",34645.84,34665.38,34452.94,34599.82,34599.82,289440000
244,"Jun 07, 2021",34766.20,34820.91,34574.51,34630.24,34630.24,259120000
245,"Jun 04, 2021",34618.69,34772.12,34618.69,34756.39,34756.39,270050000
246,"Jun 03, 2021",34550.31,34667.41,34334.41,34577.04,34577.04,297380000
247,"Jun 02, 2021",34614.62,34706.65,34545.96,34600.38,34600.38,263810000
248,"Jun 01, 2021",34584.19,34849.32,34542.87,34575.31,34575.31,287700000
249,"May 28, 2021",34558.50,34631.11,34520.09,34529.45,34529.45,290850000
250,"May 27, 2021",34432.47,34608.82,34389.24,34464.64,34464.64,520630000
251,"May 26, 2021",34336.34,34409.59,34271.44,34323.05,34323.05,258780000
252,"May 25, 2021",34428.66,34511.35,34266.03,34312.46,34312.46,285760000
253,"May 24, 2021",34253.87,34472.51,34253.87,34393.98,34393.98,251010000
254,"May 21, 2021",34121.91,34415.48,34121.91,34207.84,34207.84,306360000
255,"May 20, 2021",33906.30,34233.40,33872.41,34084.15,34084.15,320150000
256,"May 19, 2021",33945.81,33945.81,33473.80,33896.04,33896.04,348480000
257,"May 18, 2021",34351.18,34408.99,34044.10,34060.66,34060.66,289590000
258,"May 17, 2021",34375.29,34383.84,34176.65,34327.79,34327.79,291910000
259,"May 14, 2021",34050.86,34454.05,34050.86,34382.13,34382.13,303230000
260,"May 13, 2021",33624.74,34181.77,33623.49,34021.45,34021.45,350820000
261,"May 12, 2021",34206.40,34207.87,33555.22,33587.66,33587.66,381350000
262,"May 11, 2021",34572.74,34572.74,34075.31,34269.16,34269.16,413180000
263,"May 10, 2021",34785.27,35091.56,34741.57,34742.82,34742.82,361620000
264,"May 07, 2021",34578.27,34811.39,34464.31,34777.76,34777.76,303400000
265,"May 06, 2021",34245.11,34561.29,34185.06,34548.53,34548.53,315430000
266,"May 05, 2021",34163.99,34331.20,34039.66,34230.34,34230.34,253180000
267,"May 04, 2021",34080.20,34147.78,33765.68,34133.03,34133.03,407860000
268,"May 03, 2021",33904.89,34221.06,33904.89,34113.23,34113.23,289770000
269,"Apr 30, 2021",33988.75,33988.75,33784.96,33874.85,33874.85,374890000
270,"Apr 29, 2021",33855.64,34087.21,33744.28,34060.36,34060.36,408450000
271,"Apr 28, 2021",33860.46,33946.60,33805.56,33820.38,33820.38,335820000
272,"Apr 27, 2021",33932.13,34043.98,33870.46,33984.93,33984.93,289030000
273,"Apr 26, 2021",34044.23,34148.94,33941.37,33981.57,33981.57,279300000
274,"Apr 23, 2021",33804.52,34157.57,33713.29,34043.49,34043.49,346380000
275,"Apr 22, 2021",34109.88,34126.57,33717.19,33815.90,33815.90,344470000
276,"Apr 21, 2021",33808.30,34160.34,33773.80,34137.31,34137.31,290300000
277,"Apr 20, 2021",34034.18,34034.18,33687.01,33821.30,33821.30,350960000
278,"Apr 19, 2021",34182.38,34182.38,33980.56,34077.63,34077.63,312540000
279,"Apr 16, 2021",34058.16,34256.75,34058.16,34200.67,34200.67,343760000
280,"Apr 15, 2021",33788.53,34068.73,33788.53,34035.99,34035.99,319680000
281,"Apr 14, 2021",33668.95,33911.25,33668.95,33730.89,33730.89,315330000
282,"Apr 13, 2021",33721.16,33741.64,33545.84,33677.27,33677.27,324480000
283,"Apr 12, 2021",33775.06,33786.19,33665.54,33745.40,33745.40,327370000
284,"Apr 09, 2021",33526.19,33810.87,33526.19,33800.60,33800.60,316410000
285,"Apr 08, 2021",33469.89,33506.80,33342.64,33503.57,33503.57,304040000
286,"Apr 07, 2021",33444.98,33521.76,33347.96,33446.26,33446.26,273440000
287,"Apr 06, 2021",33500.02,33544.79,33380.43,33430.24,33430.24,297940000
288,"Apr 05, 2021",33222.38,33617.95,33222.38,33527.19,33527.19,344270000
289,"Apr 01, 2021",33054.58,33167.17,32985.35,33153.21,33153.21,311880000
290,"Mar 31, 2021",33116.04,33173.77,32980.57,32981.55,32981.55,414140000
291,"Mar 30, 2021",33127.88,33170.93,32988.92,33066.96,33066.96,307510000
292,"Mar 29, 2021",33087.55,33259.00,32905.13,33171.37,33171.37,351610000
293,"Mar 26, 2021",32681.07,33098.83,32681.07,33072.88,33072.88,382170000
294,"Mar 25, 2021",32346.81,32672.69,32071.41,32619.48,32619.48,411990000
295,"Mar 24, 2021",32470.88,32787.99,32418.15,32420.06,32420.06,399390000
296,"Mar 23, 2021",32691.50,32753.77,32356.28,32423.15,32423.15,385840000
297,"Mar 22, 2021",32601.82,32810.35,32512.53,32731.20,32731.20,383500000
298,"Mar 19, 2021",32858.36,32858.36,32505.07,32627.97,32627.97,811890000
299,"Mar 18, 2021",32928.16,33227.78,32831.25,32862.30,32862.30,418480000
300,"Mar 17, 2021",32825.52,33047.58,32782.18,33015.37,33015.37,391200000
301,"Mar 16, 2021",32966.75,32966.75,32778.23,32825.95,32825.95,386370000
302,"Mar 15, 2021",32798.84,32973.40,32629.75,32953.46,32953.46,360080000
303,"Mar 12, 2021",32462.40,32793.32,32462.40,32778.64,32778.64,346400000
304,"Mar 11, 2021",32354.50,32661.59,32345.70,32485.59,32485.59,400020000
305,"Mar 10, 2021",31906.96,32389.50,31906.96,32297.02,32297.02,409110000
306,"Mar 09, 2021",31892.35,32150.32,31822.64,31832.74,31832.74,458690000
307,"Mar 08, 2021",31512.15,32148.04,31512.15,31802.44,31802.44,496980000
