Date,EUR,NIKKEI,S&P,SSE,Average,S&P Adjusted,EUR Adjusted,NIKKEI Adjusted,SSE Adjusted
2022-05-24,171.46443753087473,251.0433385087186,347.88303515476747,94.67192155192764,1999979.569104758,7999918.276419032,0.0,0.0,0.0
2022-05-23,174.36549684164044,253.4214135817379,350.7312509377841,97.01272897189456,2016353.961641321,8065415.846565284,0.0,0.0,0.0
2022-05-20,172.23920102496737,250.9578245946325,344.34196241802664,97.00378752742564,1979621.9419412352,7918487.767764941,0.0,0.0,0.0
2022-05-19,171.57635147672636,247.8025352668332,344.2916530596034,95.47438625091134,1979332.71343966,7917330.85375864,0.0,0.0,0.0
2022-05-18,174.22058658259925,252.57371680245456,346.3119709794438,95.13589077140144,1990947.5211608224,7963790.084643289,0.0,0.0,0.0
2022-05-17,175.9767079294783,250.2137527104395,360.8902108579952,95.3738852893744,2074757.8222226144,8299031.288890458,0.0,0.0,0.0
2022-05-16,173.66390642138202,249.156019816713,353.75510816512065,94.758859796166,2033738.1168412785,8134952.467365114,0.0,0.0,0.0
2022-05-13,173.8532844639562,248.03539341710345,355.1567092383869,95.0834839658807,2041795.9214114863,8167183.685645945,0.0,0.0,0.0
2022-05-12,169.7083161839957,241.6633327240734,346.8768479863017,94.18051830536008,1994194.9990732484,7976779.996292993,0.0,0.0,0.0
2022-05-11,171.57347926904947,246.02681544215835,347.3269843511416,94.29489054586378,1996782.833034713,7987131.332138852,0.0,0.0,0.0
2022-05-10,167.73411136076717,245.5900070599224,353.14080442016257,93.59015705973884,2030206.4846115145,8120825.938446058,0.0,0.0,0.0
2022-05-09,166.9249153779095,247.01885018534057,352.2749538830881,92.6128900947885,2025228.7098738733,8100914.839495493,0.0,0.0,0.0
2022-05-06,172.1430670761857,253.4405694355138,363.9343683527657,92.53335788549906,2092258.6836600502,8369034.734640201,0.0,0.0,0.0
2022-05-05,175.0254740387305,,366.0111739732919,94.57419786120369,2805597.65222994,8416792.95668982,0.0,0.0,0.0
2022-05-04,175.92647793980512,,379.5417435281865,,4363970.967087088,8727941.934174176,0.0,0.0,0.0
2022-05-03,177.56495828584283,,368.5363507180116,,4237430.960555697,8474861.921111394,0.0,0.0,0.0
2022-05-02,175.48745642674152,251.70396787581413,366.7622838683484,,2811355.1599455136,8434065.47983654,0.0,0.0,0.0
2022-04-29,178.7572363844135,,364.6925392104079,93.93605105206288,2795489.8772275136,8386469.63168254,0.0,0.0,0.0
2022-04-28,177.5965184234568,251.97962881228017,378.4234635786724,91.72935022403216,2175556.4921137877,8702225.96845515,0.0,0.0,0.0
2022-04-27,176.13739818558943,247.65040664730452,369.2848127520984,91.1991028892424,2123018.3885118137,8492073.554047255,0.0,0.0,0.0
2022-04-26,175.4013754200401,250.59254360967145,368.5116373489616,88.98407783256444,2118573.4031191804,8474293.612476721,0.0,0.0,0.0
2022-04-25,176.54773205566408,249.5664316206053,379.1842822972842,90.2813402030935,2179930.438927087,8719721.755708348,0.0,0.0,0.0
2022-04-22,180.57075095153087,254.395062378385,377.0359844305775,95.16486769932156,2167579.8744913903,8670319.497965561,0.0,0.0,0.0
2022-04-21,184.0284727762016,258.5978742532404,387.7933609299288,94.9456818477764,2229424.0319861607,8917696.127944643,0.0,0.0,0.0
2022-04-20,182.66690515885315,255.45176872912384,393.60012003636393,97.14189826885496,2262807.090089056,9051228.360356225,0.0,0.0,0.0
2022-04-19,180.19626809848447,253.26721357460625,393.8437232455715,98.4669031973176,2264207.5649387906,9056830.259755163,0.0,0.0,0.0
2022-04-18,,251.5273491068743,387.6194847262552,98.51283726751412,2971232.5569216553,8913697.670764966,0.0,0.0,0.0
2022-04-14,181.13890272656568,255.0214495127697,387.6989205553447,99.44138540014865,2228881.094272677,8915524.377090707,0.0,0.0,0.0
2022-04-13,180.11305944293403,251.9382375039216,392.4650703007088,98.24463148246284,2256281.689158775,9025126.7566351,0.0,0.0,0.0
2022-04-12,179.59942853698658,247.1656444904629,388.1278740324274,99.06189323790323,2231347.147812425,8925388.5912497,0.0,0.0,0.0
2022-04-11,179.44302916028963,251.73203256774195,389.4588654798365,97.63761416492709,2238999.01764358,8955996.07057432,0.0,0.0,0.0
2022-04-08,180.4846524409913,253.27388603832816,396.1447144281944,100.24940464075824,2277435.9632476894,9109743.852990758,0.0,0.0,0.0
2022-04-07,177.93082422891035,252.3613343348774,397.19768047379057,99.78234952714644,2283489.465043822,9133957.860175287,0.0,0.0,0.0
2022-04-06,179.10299629984644,256.69488259167,395.5154061377417,101.22296106609934,2273818.069885877,9095272.279543508,0.0,0.0,0.0
2022-04-05,183.18915297477943,260.80270345344155,399.39628769892056,,3061505.6773081254,9184517.031924376,0.0,0.0,0.0
2022-04-04,184.85488493170467,260.3192611161317,404.4731197980565,,3100421.2876253687,9301263.862876106,0.0,0.0,0.0
2022-04-01,182.95958038077416,259.6576785439554,401.2268422492696,101.20107408932512,2306653.116091051,9226612.464364205,0.0,0.0,0.0
2022-03-31,182.22642996637583,261.11663942850595,399.8631938499016,100.26019005641542,2298813.5014430843,9195254.005772337,0.0,0.0,0.0
2022-03-30,184.6769785029481,263.04835569177004,406.2215906583464,100.70412385409486,2335367.9246948333,9341471.698779333,0.0,0.0,0.0
2022-03-29,185.26665483388075,265.1616767537131,408.7944289005199,98.77241013893628,2350159.171749089,9400636.686996356,0.0,0.0,0.0
2022-03-28,181.1460658136568,262.26599043919464,403.844694127927,99.0979600861409,2321703.1465414525,9286812.58616581,0.0,0.0,0.0
2022-03-25,181.058548774854,264.19891655267185,400.97970855876935,99.02828754584716,2305232.3445043648,9220929.378017459,0.0,0.0,0.0
2022-03-24,180.78596207672936,263.8286678771409,398.9585080186056,100.20038473808054,2293612.4625989636,9174449.850395855,0.0,0.0,0.0
2022-03-23,181.11450581951684,263.1695233164041,393.3167989126118,100.84069163304102,2261178.276948605,9044713.10779442,0.0,0.0,0.0
2022-03-22,183.0887104992713,255.51051945041525,398.2038676422563,100.49634057237176,2289274.0350753316,9157096.140301326,0.0,0.0,0.0
2022-03-21,181.12884964101136,,393.7528133522802,100.30612409578352,3018246.5652830116,9054739.695849035,0.0,0.0,0.0
2022-03-18,181.2938484238489,251.7875020512171,393.92404169498406,100.22535754733596,2264669.3157044635,9058677.262817854,0.0,0.0,0.0
2022-03-17,179.61520853405656,250.1493743888124,389.38296013204,99.11460863592065,2238562.637799098,8954250.551196393,0.0,0.0,0.0
2022-03-16,178.52480908656952,241.78805656144004,384.63358017281706,97.74798231759443,2211258.4524135254,8845033.809654102,0.0,0.0,0.0
2022-03-15,171.76143863988634,237.88812708860172,376.21249966901735,94.45735694238368,2162845.660597181,8651382.642388724,0.0,0.0,0.0
2022-03-14,172.14593942733666,237.525559080611,368.3271697014095,99.37634162399084,2117512.898613403,8470051.594453612,0.0,0.0,0.0
2022-03-11,171.0368874881546,236.16400890957064,371.08094510984216,102.034367209552,2133344.3534364826,8533377.41374593,0.0,0.0,0.0
2022-03-10,169.65666752258522,241.11597034727828,375.9538919143153,101.61325368827148,2161358.9246153985,8645435.698461594,0.0,0.0,0.0
2022-03-09,173.6438178975856,231.98513726245,377.574382827739,100.38935935337582,2170675.1268766713,8682700.507506685,0.0,0.0,0.0
2022-03-08,164.1974716164862,232.6742162750937,368.1144582035146,101.53433111101214,2116290.0202120054,8465160.080848021,0.0,0.0,0.0
2022-03-07,165.056897589017,236.71428590973105,370.7967413657667,103.97995217284894,2131710.4661117927,8526841.86444717,0.0,0.0,0.0
2022-03-04,166.39550447489208,243.885338029982,382.0748638558151,106.2856034777986,2196548.3923070813,8786193.569228325,0.0,0.0,0.0
2022-03-03,174.57639944011248,249.43963638625016,385.1304954147874,107.31712877242111,2214115.2181396126,8856460.87255845,0.0,0.0,0.0
2022-03-02,178.46310748307877,247.7104588677292,387.1649352597993,107.41207519233214,2225811.212808586,8903244.851234345,0.0,0.0,0.0
2022-03-01,176.42721870367174,251.9497860092933,380.0792593050248,107.55512329039408,2185075.6617445876,8740302.64697835,0.0,0.0,0.0
2022-02-28,182.03992413147853,248.96614776924932,386.0528336525476,106.73755297328546,2219417.740668496,8877670.962673984,0.0,0.0,0.0
2022-02-25,183.0370619813349,248.4938689836908,386.9981200187115,106.40151864995713,2224852.1919875727,8899408.76795029,0.0,0.0,0.0
2022-02-24,177.3999596464793,243.74783752601732,378.5293780174582,105.74025052488392,2176165.394222367,8704661.576889468,0.0,0.0,0.0
2022-02-23,183.01410124986157,,372.95121757473584,107.5649829593898,2858795.399782875,8576386.199348625,0.0,0.0,0.0
2022-02-22,183.37565866620264,248.24148836519367,379.9468662565424,106.57847347960865,2184314.5341088623,8737258.13643545,0.0,0.0,0.0
2022-02-18,186.8678129796384,254.5528369280333,383.8401045022462,107.61462004706075,2206696.7607834134,8826787.043133654,0.0,0.0,0.0
2022-02-17,188.1088673884685,255.59273379690103,386.6106496968199,106.91419921044036,2222624.625107018,8890498.500428071,0.0,0.0,0.0
2022-02-16,189.0543565769144,257.7282169849053,394.9734772592874,106.8460696018014,2270702.520763643,9082810.083054572,0.0,0.0,0.0
2022-02-15,188.66985593293813,252.14189444057237,394.6257248519405,106.2375168747456,2268703.292173806,9074813.168695224,0.0,0.0,0.0
2022-02-14,186.31687737724897,254.1541386069541,388.5003398088245,105.70695342532446,2233488.453560932,8933953.814243728,0.0,0.0,0.0
2022-02-11,189.96399489180607,,389.9981464973213,106.7572798334116,2989465.7922841334,8968397.3768524,0.0,0.0,0.0
2022-02-10,191.7143716798573,259.94017692158485,397.539254538875,107.46509918284616,2285453.1743439925,9141812.69737597,0.0,0.0,0.0
2022-02-09,192.26530728224665,258.84948497388217,404.8738294247964,107.28136299454532,2327619.6453631544,9310478.581452617,0.0,0.0,0.0
2022-02-08,189.2494968256287,256.0774959537427,399.0803096232094,106.43912842984952,2294312.700023831,9177250.800095323,0.0,0.0,0.0
2022-02-07,189.25809608829533,255.7429009981452,395.7554788656564,105.7285393317368,2275198.2479986586,9100792.991994634,0.0,0.0,0.0
2022-02-04,187.44027313792557,257.5366584753027,397.2259243241335,,3044869.118585924,9134607.355757773,0.0,0.0,0.0
2022-02-03,188.48907715303056,255.67196019150012,395.1879539978288,,3029247.396711357,9087742.19013407,0.0,0.0,0.0
2022-02-02,191.85784576332296,258.4152245911751,405.06800589590375,,3104981.2878607344,9314943.863582203,0.0,0.0,0.0
2022-02-01,191.85210120449509,254.1437266232741,401.2868604312483,,3075997.5474923286,9227992.642476985,0.0,0.0,0.0
2022-01-31,189.172015225068,253.4257396923258,398.5516200496033,,3055031.018220226,9165093.054660678,0.0,0.0,0.0
2022-01-28,187.66266499752743,250.7542593162872,391.164087944289,103.6278864847341,2248802.3415917177,8995209.36636687,0.0,0.0,0.0
2022-01-27,189.3240885712003,245.62005149991865,381.8665654595363,104.63936880459909,2195350.884826874,8781403.539307496,0.0,0.0,0.0
2022-01-26,188.575158159732,253.51348998084185,383.9336622565072,106.53284803273718,2207234.6243126597,8828938.497250639,0.0,0.0,0.0
2022-01-25,184.75300642409516,254.63983564847797,384.5091307072436,105.835821651923,2210542.992435944,8842171.969743775,0.0,0.0,0.0
2022-01-24,184.05716056266465,258.9292612995431,389.2470366022648,108.64275088587702,2237781.2134264205,8951124.853705682,0.0,0.0,0.0
2022-01-21,191.5508092160692,258.308795060809,388.171122428265,108.59527391485412,2231595.7828400955,8926383.131360382,0.0,0.0,0.0
2022-01-20,194.97409869544896,260.6614450997348,395.65486014880975,109.59688904358865,2274619.790995507,9098479.163982028,0.0,0.0,0.0
2022-01-19,193.62402019575632,257.7923203410015,400.0706096258573,109.6930698026578,2300005.9347390537,9200023.738956215,0.0,0.0,0.0
2022-01-18,193.3413629082392,265.2070092096538,403.9850307593183,110.05468656727166,2322509.941835321,9290039.767341284,0.0,0.0,0.0
2022-01-14,194.67137053144765,263.95901931484326,411.5526174105685,108.55488689497716,2366015.9974933583,9464063.989973433,0.0,0.0,0.0
2022-01-13,196.49206568949432,267.3833154357853,411.2154564471001,109.60305321724464,2364077.6591143785,9456310.636457514,0.0,0.0,0.0
2022-01-12,196.53653361650143,269.9786673478156,417.1572564629874,110.90308533645188,2398237.0674057147,9592948.269622859,0.0,0.0,0.0
2022-01-11,194.73881669376627,264.88068151222626,415.985136673757,109.97854126082528,2391498.550737429,9565994.202949716,0.0,0.0,0.0
2022-01-10,192.82485979461484,,412.2092869310409,110.78254892229218,3159721.5874220724,9479164.762266217,0.0,0.0,0.0
2022-01-07,195.558048114866,267.284108300203,412.80417302888816,110.3515681790528,2373211.190743078,9492844.762972312,0.0,0.0,0.0
