,Start,Finish,Name of Conflict
0,Start,FinishFinished,Name of ConflictName of conflict
1,1900,1905,1900–1905 phase of the Mat Salleh Rebellion
2,1900,1920,Somaliland Campaign
3,1900,1900,War of the Golden Stool
4,1900,1905,Zande resistance[1]
5,1900,1902,Muhammad Umar Khan's rebellion[2]
6,1900,1900,Bastaard uprising of 1900[3]
7,1900,1900,1900 Hamawand revolt[4]
8,1900,1900,1900 Sudan revolt[5]
9,1900,1900,French conquest of Borno[5]
10,1900,1907,Unrest in Java[6]
11,1900,1903,1900–1903 uprising in southwest Madagascar[7]
12,1900,1900,Shoubak revolt of 1900
13,1900,1900,Sharjah conquest of Ras Al Khaimah
14,1900,1900,Russian invasion of Manchuria
15,1900,1900,Huizhou Uprising
16,1900,1901,Mahsud Waziri blockade
17,1900,1901,Kuwaiti–Rashidi war
18,1901,1901,Risings among the Agar Dinka[1]
19,1901,1901,Bastaard uprising of 1901[8]
20,1901,1907,Subjugation of Jambi[6]
21,1901,1901,French conquest of the Dendi Kingdom[9]
22,1901,1903,Revolución Libertadora [es]
23,1901,1902,Anglo-Aro War
24,1901,1901,Battle of Holy Apostles Monastery
25,1901,1903,1901 Mapondera Rebellion
26,1901,1936,Holy Man's Rebellion
27,1902,1902,Kala-i-Mor railway worker's revolt[10]
28,1902,1902,1902 Sudan revolt[5]
29,1902,1902,Merauke uprising[6]
30,1902,1904,Kuanhama Rebellion of 1902-1904[11]
31,1902,1904,Bailundo Revolt of 1902
32,1902,1903,Venezuelan crisis of 1902–03
33,1902,1902,Kabul Khel expedition[12]
34,1902,1903,Expeditions against the Bantin[6] (Location: Kalimantan)
35,1902,1906,Korintji expeditions[6] (Location: Sumatra)
36,1902,1907,Campaigns against Dayak[6] (Location: Kalimantan)
37,1902,1902,Italian–Ottoman crisis of 1902[13]
38,1903,1903,Great Ming Uprising
39,1903,1903,1903 Tegale uprising[1]
40,1903,1903,1903 uprising in Bukhara[14]
41,1903,1910,Risings among the Atwot Dinka[1]
42,1903,1905,Rijal al-Ma rebellion[15]
43,1903,1903,Kavango uprising[8]
44,1903,1903,Actions on Yapen[6]
45,1903,1909,Resistance in Minangkabau[6]
46,1903,1910,Mentawei islands campaign[6]
47,1903,1916 (Solor) 1940 (Flores),Military actions in Flores and Solor[6]
48,1903,1903,Kerinci Expedition
49,1903,1903,Battle of Jo-Laban[16][17]
50,1905,1905,Theriso revolt
51,1903,1903,May Coup (Serbia)
52,1903,1903,Ilinden–Preobrazhenie Uprising
53,1903,1904,British expedition to Tibet
54,1903,1904,British conquest of the Sokoto Caliphate[18]
55,1903,1903,British conquest of the Kano Emirate
56,1903,1907,Saudi–Rashidi War Part of the Unification of Saudi Arabia
57,1903,1903,Uprising of Namas in Maltahöhe[8]
58,1903,1904,Bondelswarts uprising of 1904[8]
59,1904,1904,Adam Wad Muhammad's uprising[1]
60,1904,1904,Mahsud expedition of 1904[19]
61,1904,1904,1904 Ondonga uprising[8]
62,1904,1909,1904 Nama uprising[8]
63,1904,1904,1904 Sudan revolt[5]
64,1904,1904,Campaign in the Gajo and Alas islands[6]Part of the Aceh War
65,1904,1904,Dutch intervention in Bali (1904)[6]
66,1904,1904,Resistance on Tidore[6]
67,1904,1909,Sulawesi expeditions[6]
68,1904,1905,1904–1905 uprising in Madagascar
69,1904,1907,Portuguese campaign against the Ovambo (See Battle of Mufilo)
70,1904,1904,Vaccine Revolt
71,1904,1904,Revolution of 1904
72,1904,1904,1904 Sasun uprising
73,1904,1908,Herero Wars
74,1904,1905,Russo-Japanese War
75,1904,1905,Yemeni Rebellion of 1904 Part of the Yemeni–Ottoman Conflicts
76,1904,1908,Macedonian Struggle
77,1905,1905,Ping-liu-li Uprising
78,1905,1906,Military actions in Onin[6]
79,1905,1905,Ottoman incursion into Persia[20]
80,1905,1911,Military actions Sumba and Sumbawa[6]
81,1905,1911,Persian Constitutional Revolution
82,1905,1905,Argentine Revolution of 1905
83,1905,1905,Shoubak Revolt of 1905
84,1905,1905,Łódź insurrection (1905)
85,1905,1905,Kurdish rebellion of 1905[30]
86,1905,1906,1905 Tibetan Rebellion
87,1905,1907,1905 Russian Revolution
88,1905,1907,Maji Maji Rebellion
89,1905,1906,Yemeni Expedition of 1905 Part of the Yemeni–Ottoman Conflicts
90,1905,1905,South Sulawesi expedition
91,1906,1906,Taba Crisis of 1906
92,1906,1907,Resistance in Lombok[6]
93,1906,1908,Actions against fighters from Jambi in Indragiri[6] (Location: Sumatra)
94,1906,1906,Ottoman invasion of Persia (1906)
95,1906,1906,Sokoto Uprising of 1906[31]
96,1906,1906,1906 Mesopotamia uprising
97,1906,1906,Dutch intervention in Bali (1906)
98,1906,1906,Bambatha Rebellion
99,1907,1907,Campaign against the Mahafaly[32]
100,1907,1918,Asir rebellion[33]
101,1907,1907,Dersim uprising of 1907[34] Part of the Dersim uprisings [tr]
102,1907,1907,War of 1907
103,1907,1907,Huanggang Uprising
104,1907,1907,Huizhou Qinühu Uprising
105,1907,1907,Anqing Uprising
106,1907,1907,Qinzhou Uprising
107,1907,1907,Zhennanguan Uprising
108,1907,1907,Bitlis uprising (1907)
109,1907,1910,Dembos War of 1907-1910[31]More info: Revoltas e Campanhas nos Dembos (1872-1919) (In Portuguese)
110,1907,1907,Anti-Foreign Revolt[11]
111,1907,1907,Mutair revolt[35]
112,1907,1907,1907 Romanian Peasants' Revolt
113,1907,1907,Honduran-Nicaraguan War
114,1907,1907,Beipu uprising
115,1907,1907,1907 Diyarbakır uprising[36]
116,1907,1908,Zakka Khel raids on towns and villages in the British Raj
117,1908,1908,Qin-lian Uprising
118,1908,1908,Hekou Uprising
119,1908,1908,Mapaoying Uprising
120,1908,1909,Bondelswarts rebellion of 1908[8]
121,1908,1908,Wad Hubaba Revolt
122,1908,1909,Lobi and Dyula revolt in Mali[5]
123,1908,1914,Mossi rebellions in Kouddigou and Fada N'gourma[5]
124,1908,1908,Annam uprising[37]
125,1908,1908,Mohmand Expedition of 1908[38] Part of the instability on the North-West Frontier
126,1908,1908,Bazar Valley campaign
127,1908,1908,Kurdish uprising of 1908[34] Part of the Dersim uprisings [tr]
128,1908,1908,Buraida rebellion[39]
129,1908,1908,Battle of Marrakech
130,1908,1909,Mau uprising [de]
131,1908,1908,Young Turk Revolution
132,1908,1910/1914,Hamawand rebellion
133,1908,1908,Dutch intervention in Bali (1908)
134,1908,1910,Actions in the Toba and Batak islands[6]
135,1908,1915,Actions in West-Kalimantan[6]
136,1908,1908,Dutch–Venezuelan crisis of 1908
137,1909,1909,Nyasaland resistance[5]
138,1909,1909,Battle of Nias[6]
139,1909,1911,"Actions on the Halmahera, Seram, Papua and Mentawei islands[6]"
140,1909,1909,Kurdish uprising of 1909[34] Part of the Dersim uprisings [tr]
141,1909,1909,Estrada's rebellion
142,1909,1909,Kolašin Affair (1909)
143,1909,1910,Zaraniq rebellion
144,1909,1909,Crazy Snake Rebellion
145,1909,1910,Second Melillan campaign
146,1909,1910,Hauran Druze Rebellion
147,1909,1911,Ouaddai War
148,1910,1910,Al-Bejat Revolution[40]
149,1910,1910,Gengxu New Army Uprising
150,1910,1910,1910 uprising in Bukhara[41]
151,1910,1910,Portuguese conquest of the Angoche Sultanate[42]
152,1910,1910,Uprising of Cape Nguni[8]
153,1910,1912,Xiong Mi Chang's rebellion[43]
154,1910,1910,Actions on Ajer HItam and near Timor[6]
155,1910,1911,Actions in Langkat[6] (Location: Sumatra)
156,1910,1912,Portuguese conquest of the Kasanje Kingdom[44]
157,1910,1910,Monégasque Revolution
158,1910,1910,Battle of Hadia [ar]
159,1910,1910,Karak Revolt
160,1910,1910,Bastar rebellion
161,1910,1910,Albanian Revolt of 1910
162,1910,1910,5 October 1910 revolution
163,1910,1910,Chinese expedition to Tibet (1910)
164,1910,1911,Sokehs Rebellion
165,1910,1920,Mexican Revolution
166,1910,1919,Border War (1910–19)Part of the Mexican Revolution
167,1910,1910,Revolts at Moush[30]
168,1911,1911,Revolts at Khuyt[30]
169,1911,1911,1911 Kenya revolt[5]
170,1911,1911,Belitung miner's revolt[6]
171,1911,1911,Kurdish uprising of 1911[34] Part of the Dersim uprisings [tr]
172,1911,1913,Revolt of Salar-al-Daulah
173,1911,1911,Revolt of Mohammad Ali Shah Qajar[45]
174,1911,1911,Magonista rebellion of 1911Part of the Mexican Revolution
175,1911,1912,1911 Paraguayan Civil War
176,1911,1911,Russian Invasion of TabrizPart of the Persian Constitutional Revolution
177,1911,1911,Albanian Revolt of 1911
178,1911,1911,Second Guangzhou Uprising
179,1911,1912,Dominican Civil War (1911–12)
180,1911,1912,French conquest of Morocco
181,1911,1912,Italo-Turkish War
182,1911,1912,East Timorese Rebellion
183,1911,1912,Xinhai Revolution1911 Revolution
184,1911,1912,War of the Generals
185,1912,1912,1912 Kordofan uprising[1]
186,1912,1912,Turkoman Revolt of 1912–1913
187,1912,1914,Ecuadorian Civil War of 1912–1914
188,c.1912,c.1912,Sirte revolt[46]
189,1912,1912,Khost rebellion (1912)
190,1912,1913,First Balkan War
191,1912,1912,Albanian Revolt of 1912
192,1912,1916,Contestado War
193,1912,1933,United States occupation of NicaraguaPart of the Banana Wars
194,1912,1912,Royalist attack on Chaves
195,1912,1912,Negro RebellionPart of the Banana Wars
196,1913,1913,1913 uprising in Bukhara[41]
197,1913,1913,Oyango Dande rebellion[5]
198,1913,1913,Kurdish revolt of 1913[47]
199,1913,1913,1913 Euphrates rebellion
200,1913,1920,Muscat rebellion[48]
201,1913,1915,Sino–Mongolian War of 1913–1915 [fi]
202,1913,1913,Urtatagai conflict (1913)
203,1913,1913,Atmene uprising [ru]
204,1913,1913,Conquest of al-Hasa Part of the Unification of Saudi Arabia
205,1913,1913,Second Balkan War
206,1913,1913,Tikveš UprisingPart of the Second Balkan War
207,1913,1913,Ohrid–Debar Uprising
208,1913,1913,Second Revolution
209,1913,1914,Bai Lang Rebellion
210,1914,1914,1914 Kenya revolt[5]
211,1914,1914,North Java peasant revolt[6]
212,1914,1914,"Kolongongo War[49]More info: The Mbunda Kingdom in Angola(Section ""Kolongongo war"")"
213,1914,1914,First Yemeni–Asiri war[50]
214,1914,1914,Dersim uprising of 1914[34]Part of the Dersim uprisings [tr]
215,1914,1914,Bitlis uprising
216,1914,1914,Uprising in Barzan[51]
217,1914,1917,Kongo revolt of 1914[52][53]
218,1914,1914,Operations in the Tochi Part of the instability on the North-West Frontier
219,1914,1914,Revolt of Juazeiro [pt]
220,1914,1921,Zaian War
221,1914,1914,Dominican Civil War of 1914
222,1914,1914,Haitian Civil War[55]
223,1914,1914,Blayong's uprising[56]
224,1914,1914,Peasant Revolt in Albania
225,1914,1914,Truku War
226,1914,1918,World War I
227,1914,1914,United States occupation of VeracruzPart of the Banana Wars
228,1914,1915,Bluff War
229,1914,1917,Ovambo Uprising
230,1914,1915,Maritz Rebellion
231,1915,1915,1915 Rehoboth Basters rebellion[8]
232,1915,1915,Betsileo uprising[7]
233,1915,1917,Sadiavahe rebellion[57]
234,1915,1915,Imerina uprising[7]
235,1915,1915,Kru Coast Rebellion[58]
236,1915,1915,Botan revolt[47]
237,1915,1915,Tapani incident
238,1915,1915,Turkoman Revolt of 1915[59]
239,1915,1915,Battle of Kanzaan (1915) [ar]
240,1915,1915,Battle of Jarrab Part of the Unification of Saudi Arabia and World War I
241,1915,1915,Chilembwe uprising
242,1915,1915,Bussa rebellion
243,1915,1915,1915 Singapore Mutiny
244,1915,1915,Kelantan rebellion
245,1915,1915,Rundum revolt
246,1915,1916,Volta-Bani War
247,1915,1916,National Protection WarAnti-Monarchy War
248,1915,1917,Senussi CampaignPart of World War I
249,1915,1934,United States occupation of HaitiPart of the Banana Wars
250,1916,1916,Jambi rebellion[60]
251,1915,1915,"Operations against the Mohmands, Bunerwals and Swatis in 1915 Part of the instability on the North-West Frontier"
252,1915,1916,Kalat Operations (1915-16)
253,1916,1934,Yarahmadzai uprising
254,1916,1916,Dersim uprising of 1916 Part of the Dersim uprisings [tr]
255,1916,1916,1916 Kumyk uprising
256,1916,1917,Mohmand blockade Part of the instability on the North-West Frontier
257,1916,1918,Cuban Civil War (See Sugar Intervention)
